train_number,train_name,train_type,zone,origin_code,origin,destination_code,destination,current_station_code,current_station,next_station_code,next_station,scheduled_arrival,actual_arrival,delay_minutes,latitude,longitude,speed_kmph,distance_covered_km,total_distance_km,stops_done,total_stops,timestamp
12430,Delhi H Nizamuddin-Bangalore Rajdhani Express,Raj,NR,NZM,DELHI H NIZAMUDDIN,SBC,BANGALORE CITY JN,BG,BHONGIR,PGDP,PAGIDIPALLI,17:55:00,17:45:00,1,17.5247,78.89847,51,1540.5,2276.6,181,275,2026-09-06T17:45:00+05:30
12433,Chennai Central-Delhi H.Nizamuddin Rajdhani Expres,Raj,NR,MAS,CHENNAI CENTRAL,NZM,DELHI H NIZAMUDDIN,MAGH,MANIKGARH,BPQ,BALHARSHAH,17:51:00,17:45:00,1,19.78769,79.39853,74,857.3,2097.8,123,270,2026-09-06T17:45:00+05:30
12434,Delhi H.Nizamuddin-Chennai Central Rajdhani Expres,Raj,NR,NZM,DELHI H NIZAMUDDIN,MAS,CHENNAI CENTRAL,MTJ,MATHURA JN,BAD,BAAD,17:39:00,17:40:00,8,27.42,77.68493,81,139.8,2097.8,17,270,2026-09-06T17:45:00+05:30
12437,Secunderabad Rajdhani Express,Raj,NR,SC,SECUNDERABAD JN,NZM,DELHI H NIZAMUDDIN,MAGH,MANIKGARH,BPQ,BALHARSHAH,17:51:00,17:45:00,1,19.78769,79.39853,74,344.2,1584.7,40,187,2026-09-06T17:45:00+05:30
12438,Secunderabad Rajdhani Express,Raj,NR,NZM,DELHI H NIZAMUDDIN,SC,SECUNDERABAD JN,BAD,BAAD,FAR,FARAH,17:45:00,17:40:00,1,27.34472,77.73466,87,149.7,1584.7,18,187,2026-09-06T17:45:00+05:30
12441,Bilaspur-New Delhi Rajdhani Express,Raj,NR,BSP,BILASPUR JN,NDLS,NEW DELHI,DKS,DAREKASA,SKS,SALEKASA,17:53:00,17:44:00,1,21.27433,80.572,58,228.2,1434.8,34,182,2026-09-06T17:45:00+05:30
12442,Bilaspur Rajdhani Express,Raj,NR,NDLS,NEW DELHI,BSP,BILASPUR JN,FHT,FARAH TOWN,KXM,KITHAM,17:48:00,17:44:00,3,27.30897,77.76651,79,162,1434.8,24,182,2026-09-06T17:45:00+05:30
12453,Ranchi-New Delhi Rajdhani Express,Raj,NR,RNC,RANCHI,NDLS,NEW DELHI,JONA,Jonha,KITA,KITA,17:54:00,17:40:00,1,,,105,26.9,1300.6,5,179,2026-09-06T17:45:00+05:30
12454,New Delhi-Ranchi Rajdhani Express,Raj,NR,NDLS,NEW DELHI,RNC,RANCHI,DAR,DANWAR,SOM,SOMNA,17:23:00,17:39:00,23,28.06372,77.93901,91,105,1300.6,20,179,2026-09-06T17:45:00+05:30
12475,Hapa - Jammu Tawi Sarvodaya SF Express,SF,NR,HAPA,HAPA,JAT,JAMMU TAWI,MRN,MORWANI,RTM,RATLAM JN,17:50:00,17:44:00,2,23.28447,74.98708,77,647,1950.3,94,271,2026-09-06T17:45:00+05:30
12507,TRIVANDRUM - GUWAHATI SF Exp,SF,NER,ERN,ERNAKULAM TOWN,GHY,GUWAHATI,NZD,NUZVID,VAT,VATLUR,17:45:00,17:42:00,6,16.66479,80.98918,68,1140.6,3242.9,201,552,2026-09-06T17:45:00+05:30
12508,GUWAHATI - TRIVANDRUM SF Exp,SF,NFR,GHY,GUWAHATI,ERN,ERNAKULAM TOWN,BKRD,BHALUKA ROAD F,MFZ,MALAHAR,17:46:00,17:40:00,1,25.31481,87.94477,54,578.8,3242.7,77,552,2026-09-06T17:45:00+05:30
12557,Sapt Kranti SF Express,SF,ECR,MFP,MUZAFFARPUR JN,ANVT,ANAND VIHAR TRM,MOTG,MOTIGANJ,BRCK,BARUACHAK,17:44:00,17:41:00,5,27.11203,82.07941,40,438.5,1059.5,60,154,2026-09-06T17:45:00+05:30
12569,Jaynagar-Delhi AnandViharT Garib Rath,GR,ECR,JYG,JAYNAGAR,ANVT,ANAND VIHAR TRM,MKA,MOKAMEH JN,MOR,MOR,17:28:00,17:42:00,22,25.3983,85.90367,71,171.7,1239.5,28,183,2026-09-06T17:45:00+05:30
12588,Amarnath Express,SF,NFR,JAT,JAMMU TAWI,GKP,GORAKHPUR JN,GDK,GONDA KACHAHRI,GD,GONDA JN,17:30:00,17:35:00,7,27.15461,81.97815,139,1093.7,1243.7,159,181,2026-09-06T17:45:00+05:30
12611,Chennai Central-H.Nizamuddin Garib Rath Express,GR,SR,MAS,CHENNAI CENTRAL,NZM,DELHI H NIZAMUDDIN,VHGN,WIHIRGAON,MAGH,MANIKGARH,17:45:00,17:39:00,1,19.77874,79.40457,71,856.1,2097.8,122,270,2026-09-06T17:45:00+05:30
12621,Tamil Nadu Express,SF,SR,MAS,CHENNAI CENTRAL,NDLS,NEW DELHI,DHQ,DHARAKHOH,GDYA,GHORADONGRI,17:48:00,17:36:00,2,22.08459,77.9834,60,1269.9,2105.1,172,274,2026-09-06T17:45:00+05:30
12626,Kerala Express,SF,SR,NDLS,NEW DELHI,TVC,TRIVANDRUM CENTRAL,JHS,JHANSI JN,BJI,BIJAULI,17:41:00,17:28:00,6,25.39564,78.52781,71,407.4,2908.8,52,399,2026-09-06T17:45:00+05:30
12629,Karnataka Sampark Kranti Express,SKr,SWR,YPR,YESVANTPUR JN,NZM,DELHI H NIZAMUDDIN,HRR,HARIHAR,CLI,CHALGERI,17:59:00,17:44:00,1,14.5183,75.8075,37,325.8,2502.5,47,312,2026-09-06T17:45:00+05:30
12644,Swarna Jayanti Express,SF,SR,NZM,DELHI H NIZAMUDDIN,TVC,TRIVANDRUM CENTRAL,HBJ,HABIBGANJ,MSO,MISROD,17:29:00,17:39:00,17,23.17631,77.45539,53,689.4,2887.8,84,396,2026-09-06T17:45:00+05:30
12650,Karnataka Sampark Kranti Express,SKr,SWR,NZM,DELHI H NIZAMUDDIN,YPR,YESVANTPUR JN,ET,ITARSI JN,KRTH,KIRATGARH,17:52:00,17:45:00,2,22.60826,77.76713,52,761.4,2162.9,92,261,2026-09-06T17:45:00+05:30
12714,Satavahana Express,SF,SCR,SC,SECUNDERABAD JN,BZA,VIJAYAWADA JN,ZN,JANGAON,RGP,RAGHUNATHPALLI,17:35:00,17:40:00,15,17.7408,79.20502,67,85.1,341.6,12,43,2026-09-06T17:45:00+05:30
12723,Andhra Pradesh Express,SF,SCR,HYB,HYDERABAD DECCAN,NDLS,NEW DELHI,PAR,PANDHURNA,TEO,TEEGAON,17:41:00,17:39:00,6,21.62528,78.47658,64,668.3,1601.8,84,198,2026-09-06T17:45:00+05:30
12778,TRIVANDRUM KOCHUVELI - HUBLI SF Exp,SF,SWR,KCVL,KOCHUVELI,UBL,HUBLI JN,CWR,CHOVVARA,AFK,ANGAMALI,17:45:00,17:39:00,1,10.17645,76.37705,49,222,1323.3,44,189,2026-09-06T17:45:00+05:30
12806,Janmabhoomi Express,SF,ECoR,SC,SECUNDERABAD JN,VSKP,VISHAKAPATNAM,NRP,NARSIPATNAM RD,REG,REGUPALEM,17:47:00,17:40:00,2,17.48193,82.76108,61,600.6,667.8,92,102,2026-09-06T17:45:00+05:30
12819,Orissa Sampark Kranti Express,SKr,ECoR,BBS,BHUBANESWAR,NDLS,NEW DELHI,MZZ,MANJURI ROAD,KED,KENDUAPADA,17:44:00,17:39:00,6,21.02222,86.35452,38,119.3,1794.6,25,261,2026-09-06T17:45:00+05:30
12824,Chhattisgarh Sampark Kranti Express,SKr,SER,NZM,DELHI H NIZAMUDDIN,DURG,DURG,FDB,FARIDABAD,FDN,FARIDABAD NEW TOWN,17:46:00,17:44:00,1,28.39973,77.30802,78,21.8,1227.7,4,150,2026-09-06T17:45:00+05:30
12841,Coromandel Express,SF,SER,HWH,HOWRAH JN,MAS,CHENNAI CENTRAL,BTS,BASTA,NMBR,N MAYURBHANJ ROAD,17:43:00,17:43:00,4,21.68491,87.05125,72,201.5,1628.8,47,281,2026-09-06T17:45:00+05:30
12877,Ranchi-New Delhi Garib Rath,GR,SER,RNC,RANCHI,NDLS,NEW DELHI,JONA,Jonha,KITA,KITA,17:54:00,17:40:00,1,,,105,26.9,1300.6,5,179,2026-09-06T17:45:00+05:30
12907,Maharashtra Sampark Kranti Express,SKr,WR,BDTS,MUMBAI BANDRA TERMINUS,NZM,DELHI H NIZAMUDDIN,NSP,NALLA SOPARA,VR,VIRAR,17:47:00,17:44:00,1,19.42728,72.81753,62,41.4,1330.9,16,190,2026-09-06T17:45:00+05:30
12909,Bandra Terminus- Hazrat Nizamuddin Garib Rath,GR,WR,BDTS,MUMBAI BANDRA TERMINUS,NZM,DELHI H NIZAMUDDIN,JOS,JOGESHWARI,GMN,GOREGAON,17:13:00,17:41:00,33,19.15887,72.84932,37,10.8,1330.9,6,190,2026-09-06T17:45:00+05:30
12918,Gujarat Sampark Kranti Express,SKr,WR,NZM,DELHI H NIZAMUDDIN,ADI,AHMEDABAD JN,COO,CHHOTI ODAI,GGC,GANGAPUR CITY,17:50:00,17:43:00,2,26.53876,76.78805,84,273,1051.7,36,138,2026-09-06T17:45:00+05:30
12919,Malwa Express,SF,WR,INDB,INDORE JN BG,JAT,JAMMU TAWI,BIH,BAIRAGARH,BPL,BHOPAL JN,17:25:00,17:03:00,5,23.26688,77.41314,19,251.1,1514.8,33,207,2026-09-06T17:45:00+05:30
12941,Ahmedabad-Asansol (Weekly) SF Parasnath Express,SF,WR,ADI,AHMEDABAD JN,ASN,ASANSOL JN,BDN,BHADAN,BBL,BALRAI,17:46:00,17:42:00,2,26.94995,78.7806,108,1011,2010.9,136,273,2026-09-06T17:45:00+05:30
12951,Mumbai Central-New Delhi Rajdhani Express,Raj,WR,BCT,Mumbai Central,NDLS,NEW DELHI,UOI,UMROLI,BOR,BOISAR,17:47:00,17:44:00,1,19.76547,72.76073,74,92.9,1349.1,30,202,2026-09-06T17:45:00+05:30
12952,Mumbai Rajdhani Express,Raj,WR,NDLS,NEW DELHI,BCT,Mumbai Central,AJH,AJHAI,VRBD,VRINDABAN ROAD,17:45:00,17:40:00,1,27.56891,77.6121,110,128.5,1349.1,18,202,2026-09-06T17:45:00+05:30
12970,Jaipur-Coimbatore Express,SF,NWR,JP,JAIPUR,CBE,COIMBATORE JN,IGU,IRUGUR,SHI,SINGANALLUR,17:39:00,17:44:00,10,11.01634,77.0632,39,2572,2587.5,355,359,2026-09-06T17:45:00+05:30
12995,Bandra-Udaipur SF Express,SF,WR,BDTS,MUMBAI BANDRA TERMINUS,UDZ,UDAIPUR CITY,VGN,VANGAON,DRD,DAHANU ROAD,17:43:00,17:38:00,5,19.95871,72.74931,73,103.6,913.1,24,134,2026-09-06T17:45:00+05:30
13005,Howrah-Amritsar Mail,Mail,ER,HWH,HOWRAH JN,ASR,AMRITSAR JN,SHRM,SHARMA,AJI,ANJHI SHAHABAD,17:44:00,17:40:00,3,27.63253,79.98188,46,1171.5,1899.1,187,292,2026-09-06T17:45:00+05:30
13006,Amritsar Howrah Mail,Mail,ER,ASR,AMRITSAR JN,HWH,HOWRAH JN,VYN,VYASNAGAR,MGS,MUGHAL SARAI JN,17:55:00,17:41:00,8,25.29358,83.08006,14,1164.6,1899.1,165,292,2026-09-06T17:45:00+05:30
13010,Doon Express,Exp,ER,DDN,DEHRADUN,HWH,HOWRAH JN,MGS,MUGHAL SARAI JN,GAQ,GANJ KHAWAJA,17:45:00,17:13:00,3,25.27519,83.16483,39,912.3,1605.4,127,239,2026-09-06T17:45:00+05:30
13025,Howrah-Bhopal Express,Exp,ER,HWH,HOWRAH JN,BPL,BHOPAL JN,BZS,BANSJORA,SJA,SIJUA,17:48:00,17:45:00,2,23.78993,86.35455,30,263.3,1375.1,58,189,2026-09-06T17:45:00+05:30
13134,Varanasi- Sealdah Express,Exp,ER,BSB,VARANASI JN,SDAH,KOLKATA SEALDAH,ATL,ATHMAL GOLA,BARH,BARH,17:46:00,17:38:00,2,25.45841,85.67641,67,285.3,850.5,48,151,2026-09-06T17:45:00+05:30
13307,Ganga Sutlej Express,Exp,ECR,DHN,DHANBAD JN,FZR,FIROZPUR CANT,KH,KAHILIYA,ROZA,ROZA JN,17:48:00,17:35:00,2,27.82738,79.9574,34,997.3,1692.7,126,225,2026-09-06T17:45:00+05:30
13352-Slip,Alappuzha Dhanbad Tatanagar Express Slip,Exp,ECR,ALLP,ALLEPPEY,TATA,TATANAGAR JN,VGM,VINNAMANGALAM,AB,AMBUR,17:39:00,17:39:00,7,12.77521,78.71519,65,549.7,2292.8,89,357,2026-09-06T17:45:00+05:30
13465,InterCity Express,Exp,ER,HWH,HOWRAH JN,MLDT,MALDA TOWN,PTAE,PATULI,AGAE,AGRADWIP,17:44:00,17:39:00,2,23.57619,88.22977,39,126.9,359.6,40,84,2026-09-06T17:45:00+05:30
14005,Lichhavi Express,Exp,NR,SMI,SITAMARHI JN,ANVT,ANAND VIHAR TRM,HDK,HANDIA KHAS,SDC,SAIDABAD,17:50:00,17:40:00,3,25.3658,82.16279,34,631.8,1286.7,100,191,2026-09-06T17:45:00+05:30
14020,Delhi SR Chhindwara Kanhan Valley Express,Exp,NR,DEE,DELHI SARAI ROHILLA,CWA,Chhindwara Junction,NUB,NURABAD,BAO,BANMOR,17:41:00,17:43:00,7,26.38585,78.08643,72,298.6,1000.8,48,132,2026-09-06T17:45:00+05:30
14034,Jammu Mail,Mail,NR,UHP,UDHAMPUR,DLI,OLD DELHI,BDHY,BUDHI,KTHU,KATHUA,17:53:00,17:44:00,7,32.43777,75.44037,45,108.6,637.7,14,96,2026-09-06T17:45:00+05:30
14659,Delhi-Jaisalmer Express,Exp,NR,DLI,OLD DELHI,JSM,JAISALMER,DSB,DELHI SADAR BAZAR,DKZ,DELHI KISHANGANJ,17:43:00,17:41:00,6,28.66169,77.20905,12,2,894.6,2,114,2026-09-06T17:45:00+05:30
